generic_name,company_name,therapeutic_category,dosage_form,status,availability,package_ndc,initial_posting_date,update_date,update_type,source_id
Morphine Sulfate Injection,"Hospira, Inc., a Pfizer Company",Analgesia/Addiction,Injection,Current,Available,0409-1896-20,10/31/2017,05/08/2026,Reverified,openfda_drug_shortages
Methylprednisolone Acetate Injection,Eugia US LLC,Rheumatology,Injection,Current,Available,55150-313-01,12/15/2021,05/08/2026,Revised,openfda_drug_shortages
Cromolyn Sodium Concentrate,"Rising Pharma Holdings, Inc.",Pulmonary/Allergy,Concentrate,Current,Limited Availability,16571-600-96,11/03/2023,03/02/2026,Reverified,openfda_drug_shortages
Dexmedetomidine Hydrochloride Injection,Slayback Pharma,Anesthesia,Injection,Current,Available,71225-126-05,04/10/2020,09/17/2025,Reverified,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sunrise Pharmaceutical, Inc.",Psychiatry,Tablet,Current,Available,11534-193-01,10/12/2022,05/18/2026,Reverified,openfda_drug_shortages
Carboplatin Injection,"Hospira, Inc., a Pfizer Company",Oncology,Injection,Current,Unavailable,61703-339-56,04/28/2023,05/08/2026,Revised,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Teva Pharmaceuticals USA, Inc.",Psychiatry,Capsule,Current,Available,0480-3567-01,07/14/2023,05/18/2026,Revised,openfda_drug_shortages
"Methylphenidate Hydrochloride Tablet, Extended Release","Teva Pharmaceuticals USA, Inc.",Psychiatry,Tablet,Current,Available,62037-727-01,07/26/2023,05/18/2026,Revised,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,Alvogen,Psychiatry,Capsule,Current,Available,47781-563-01,07/14/2023,05/19/2026,Reverified,openfda_drug_shortages
Clonazepam Tablet,"Prinston Pharmaceutical, Inc.",Neurology; Pediatric; Psychiatry,Tablet,Current,Available,43547-406-10,03/10/2023,05/05/2026,Reverified,openfda_drug_shortages
Clonazepam Tablet,"Prinston Pharmaceutical, Inc.",Neurology; Pediatric; Psychiatry,Tablet,Current,Available,43547-408-10,03/10/2023,05/05/2026,Reverified,openfda_drug_shortages
Lorazepam Injection,"Fresenius Kabi USA, LLC",Neurology,Injection,Current,Available,65219-368-02,05/03/2018,04/23/2026,Reverified,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Available,0409-1165-01,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Mylan Pharmaceuticals Inc., a Viatris Company",Psychiatry,Capsule,Current,Available,0378-6855-77,07/14/2023,05/19/2026,Reverified,openfda_drug_shortages
Naltrexone Hydrochloride Tablet,"Elite Laboratories, Inc.",Analgesia/Addiction,Tablet,Resolved,,51224-206-50,02/29/2024,02/11/2026,Revised,openfda_drug_shortages
Meperidine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Analgesia/Addiction,Injection,Current,Unavailable,0409-1418-01,05/30/2025,05/08/2026,Revised,openfda_drug_shortages
Amino Acid Injection,Baxter Healthcare,Gastroenterology,Injection,Current,Available,0338-1130-06,12/08/2020,05/16/2026,Reverified,openfda_drug_shortages
Decitabine Injection,Ingenus Pharmaceuticals LLC,Oncology,Injection,To Be Discontinued,,68001-573-41,02/20/2026,02/20/2026,New,openfda_drug_shortages
Methotrexate Injection,"Assertio Specialty Pharmaceuticals, LLC",Rheumatology,Injection,To Be Discontinued,,82497-010-04,08/29/2025,08/29/2025,New,openfda_drug_shortages
"Carbamazepine Capsule, Extended Release",Takeda Pharmaceuticals USA Inc.,Neurology,"Capsule, Extended Release",To Be Discontinued,,54092-171-12,12/19/2025,12/19/2025,New,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Sun Pharmaceutical Industries, Inc.",Psychiatry,Capsule,Current,Available,57664-049-88,07/14/2023,04/17/2026,Revised,openfda_drug_shortages
Naltrexone Hydrochloride Tablet,"Elite Laboratories, Inc.",Analgesia/Addiction,Tablet,Resolved,,51224-206-30,02/29/2024,02/11/2026,Revised,openfda_drug_shortages
Methotrexate Sodium Injection,"Teva Pharmaceuticals USA, Inc.",Rheumatology; Oncology,Injection,Current,Available,0703-3678-01,03/13/2023,05/18/2026,Revised,openfda_drug_shortages
Clonazepam Tablet,Rubicon Research Private Limited,Neurology; Pediatric; Psychiatry,Tablet,Current,Available,72888-152-30,03/10/2023,01/05/2026,Reverified,openfda_drug_shortages
Amino Acid Injection,Otsuka ICU Medical LLC,Gastroenterology,Injection,Current,Available,0990-7172-17,12/08/2020,05/15/2026,Revised,openfda_drug_shortages
"Methylphenidate Hydrochloride Tablet, Extended Release",Janssen Pharmaceuticals,Psychiatry,Tablet,Current,Available,50458-586-01,07/26/2023,04/17/2026,Reverified,openfda_drug_shortages
Carboplatin Injection,Teyro Labs,Oncology,Injection,Current,Available,60505-6282-3,04/28/2023,05/08/2026,Revised,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Hikma Pharmaceuticals USA, Inc.",Psychiatry,Capsule,Current,Limited Availability,0054-0373-25,07/14/2023,05/12/2026,Reverified,openfda_drug_shortages
Remifentanil Hydrochloride Injection,"Fresenius Kabi USA, LLC",Analgesia/Addiction,Injection,Current,Available,63323-724-05,06/28/2022,04/23/2026,Reverified,openfda_drug_shortages
"Doxylamine Succinate and Pyridoxine  Hydrochloride Tablet, Delayed Release","Mylan Pharmaceuticals Inc., a Viatris Company",Other,Tablet,To Be Discontinued,,0378-4615-01,01/12/2026,01/12/2026,New,openfda_drug_shortages
Etravirine Tablet,Janssen Research and Development,Antiviral,Tablet,To Be Discontinued,,10147-0570-1,04/28/2026,04/28/2026,New,openfda_drug_shortages
Phenobarbital Tablet,"Endo Pharmaceuticals, Inc.",Analgesia/Addiction; Neurology; Other,Tablet,To Be Discontinued,,0603-5168-32,10/31/2025,10/31/2025,New,openfda_drug_shortages
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection","Fresenius Kabi USA, LLC",Anesthesia; Pediatric,Injection,Current,Available,63323-482-27,10/14/2016,04/23/2026,Reverified,openfda_drug_shortages
"Methylphenidate Hydrochloride Tablet, Extended Release","Vertical Pharmaceuticals, LLC",Psychiatry,Tablet,Current,Available,68025-097-10,07/26/2023,05/18/2026,Reverified,openfda_drug_shortages
Palivizumab Injection,Swedish Orphan Biovitrum AB,Antiviral,Injection,To Be Discontinued,,66658-231-01,08/13/2025,08/13/2025,New,openfda_drug_shortages
Dexmedetomidine Hydrochloride Injection,Pfizer Inc.,Anesthesia,Injection,Current,Available,0409-7875-12,04/10/2020,05/08/2026,Reverified,openfda_drug_shortages
Dopamine Hydrochloride Injection,Baxter Healthcare,Cardiovascular,Injection,Current,Available,0338-1005-02,11/06/2017,05/16/2026,Reverified,openfda_drug_shortages
Naltrexone Hydrochloride Tablet,SpecGx LLC,Analgesia/Addiction,Tablet,Resolved,,0406-1170-01,02/29/2024,02/11/2026,Revised,openfda_drug_shortages
Dextrose Monohydrate 5% Injection,"Fresenius Kabi USA, LLC",Endocrinology/Metabolism; Gastroenterology; Other; Pediatric,Injection,Current,Available,65219-456-60,02/14/2022,04/23/2026,Reverified,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Alvogen,Psychiatry,Tablet,Current,Limited Availability,47781-174-01,10/12/2022,05/19/2026,Revised,openfda_drug_shortages
"Potassium Chloride Tablet, Extended Release","Upsher-Smith Laboratories, LLC",Endocrinology/Metabolism; Gastroenterology,Tablet,To Be Discontinued,,0832-5322-11,07/23/2025,07/23/2025,New,openfda_drug_shortages
Dextrose Monohydrate 5% Injection,Baxter Healthcare,Endocrinology/Metabolism; Gastroenterology; Other; Pediatric,Injection,Current,Available,0338-0017-41,02/14/2022,05/16/2026,Reverified,openfda_drug_shortages
Activated Charcoal Oral Suspension,Padagis US LLC,Other,Oral Suspension,To Be Discontinued,,0574-0520-74,05/15/2026,05/15/2026,New,openfda_drug_shortages
Nebivolol Hydrochloride Tablet,Torrent Pharmaceuticals Limited,Cardiovascular,Tablet,To Be Discontinued,,13668-356-01,03/25/2026,03/25/2026,New,openfda_drug_shortages
Docetaxel Injection,Pfizer Inc.,Oncology,Injection,To Be Discontinued,,0409-0016-01,06/24/2025,06/24/2025,New,openfda_drug_shortages
Lorazepam Injection,"Amphastar Pharmaceuticals, Inc.",Neurology,Injection,Current,Available,76329-8261-1,05/03/2018,05/16/2026,Reverified,openfda_drug_shortages
Promethazine Hydrochloride Injection,"XGen Pharmaceuticals DJB, Inc.",Analgesia/Addiction; Gastroenterology; Other; Pulmonary/Allergy,Injection,Current,Available,39822-5550-6,11/21/2023,05/08/2026,Revised,openfda_drug_shortages
Dopamine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Cardiovascular,Injection,Current,Unavailable,0409-7809-24,11/06/2017,05/08/2026,Reverified,openfda_drug_shortages
Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,Cardiovascular,Tablet,To Be Discontinued,,13668-397-05,06/13/2025,06/13/2025,New,openfda_drug_shortages
Obeticholic Acid Tablet,Intercept Pharmaceuticals,Gastroenterology,Tablet,To Be Discontinued,,69516-005-30,09/19/2025,09/19/2025,New,openfda_drug_shortages
Dopamine Hydrochloride Injection,"Hikma Pharmaceuticals USA, Inc.",Cardiovascular,Injection,Current,Unavailable,0143-9252-25,11/06/2017,05/12/2026,Reverified,openfda_drug_shortages
Methotrexate Sodium Injection,"Fresenius Kabi USA, LLC",Rheumatology; Oncology,Injection,Current,Available,63323-122-50,03/13/2023,04/23/2026,Reverified,openfda_drug_shortages
Ropivacaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia,Injection,Current,Available,63323-286-35,03/23/2018,04/23/2026,Reverified,openfda_drug_shortages
"Fluvastatin Sodium Tablet, Extended Release",Sandoz Inc.,Cardiovascular,Tablet,To Be Discontinued,,0781-8017-31,01/27/2026,01/27/2026,New,openfda_drug_shortages
Hydromorphone Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Analgesia/Addiction,Injection,Current,Available,0409-2634-01,10/31/2017,05/08/2026,Reverified,openfda_drug_shortages
Atropine Sulfate Injection,"Hospira, Inc., a Pfizer Company",Anesthesia; Neurology; Pediatric,Injection,To Be Discontinued,,0409-4911-34,11/07/2025,11/07/2025,New,openfda_drug_shortages
Activated Charcoal Oral Suspension,Padagis US LLC,Other,Oral Suspension,To Be Discontinued,,0574-0520-76,05/15/2026,05/15/2026,New,openfda_drug_shortages
Phenobarbital Tablet,"Endo Pharmaceuticals, Inc.",Analgesia/Addiction; Neurology; Other,Tablet,To Be Discontinued,,0603-5165-32,10/31/2025,10/31/2025,New,openfda_drug_shortages
Rifampin Injection,"Mylan Institutional, a Viatris Company",Anti-Infective,Injection,Current,Available,67457-445-60,02/17/2021,05/19/2026,Reverified,openfda_drug_shortages
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company",Anesthesia; Pediatric,Injection,Current,Unavailable,0409-3182-01,02/22/2012,05/08/2026,Reverified,openfda_drug_shortages
Ezetimibe Tablet,"Actavis Pharma, Inc.",Cardiovascular,Tablet,To Be Discontinued,,0591-3713-19,06/27/2025,06/27/2025,New,openfda_drug_shortages
"Potassium Chloride Tablet, Extended Release","Upsher-Smith Laboratories, LLC",Endocrinology/Metabolism; Gastroenterology,Tablet,To Be Discontinued,,0245-5315-11,07/23/2025,07/23/2025,New,openfda_drug_shortages
Etravirine Tablet,Janssen Research and Development,Antiviral,Tablet,To Be Discontinued,,59676-570-01,04/28/2026,04/28/2026,New,openfda_drug_shortages
Midazolam Hydrochloride Injection,"Hikma Pharmaceuticals USA, Inc.",Anesthesia; Neurology,Injection,Current,Unavailable,0641-6057-25,04/02/2020,05/12/2026,Reverified,openfda_drug_shortages
Rocuronium Bromide Injection,Eugia US LLC,Anesthesia,Injection,Current,Available,55150-225-05,02/15/2023,05/05/2026,Reverified,openfda_drug_shortages
Everolimus Tablet,"Mylan Pharmaceuticals Inc., a Viatris Company",Transplant,Tablet,To Be Discontinued,,0378-0005-85,11/03/2025,11/03/2025,New,openfda_drug_shortages
Furosemide Injection,Eugia US LLC,Cardiovascular,Injection,Current,Unavailable,55150-323-25,04/07/2020,05/05/2026,Revised,openfda_drug_shortages
Quinapril Hydrochloride Tablet,Pfizer Inc.,Cardiovascular,Tablet,Current,Unavailable,0071-0527-23,01/19/2023,05/08/2026,Reverified,openfda_drug_shortages
Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,Cardiovascular,Tablet,To Be Discontinued,,13668-397-30,06/13/2025,06/13/2025,New,openfda_drug_shortages
Naltrexone Hydrochloride Tablet,"Elite Laboratories, Inc.",Analgesia/Addiction,Tablet,Resolved,,68094-909-50,02/29/2024,02/11/2026,Revised,openfda_drug_shortages
Rocuronium Bromide Injection,"Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Available,0409-1403-10,02/15/2023,05/08/2026,Revised,openfda_drug_shortages
Fentanyl Citrate Injection,"Hikma Pharmaceuticals USA, Inc.",Analgesia/Addiction; Pediatric,Injection,Current,Unavailable,0641-6025-10,12/20/2023,05/12/2026,Reverified,openfda_drug_shortages
Furosemide Oral Solution,"Hikma Pharmaceuticals USA, Inc.",Cardiovascular,Oral Solution,Current,Unavailable,0054-3294-50,03/31/2026,05/12/2026,Reverified,openfda_drug_shortages
Ropivacaine Hydrochloride Injection,InfoRLife SA,Anesthesia,Injection,Current,Available,25021-671-82,03/27/2018,11/13/2025,Reverified,openfda_drug_shortages
Ezetimibe Tablet,"Actavis Pharma, Inc.",Cardiovascular,Tablet,To Be Discontinued,,0591-3713-30,06/27/2025,06/27/2025,New,openfda_drug_shortages
Nitroglycerin Injection,Baxter Healthcare,Cardiovascular,Injection,Resolved,,0338-1049-02,10/06/2023,12/15/2025,Revised,openfda_drug_shortages
Azacitidine Injection,Armas Pharmaceuticals Inc,Oncology,Injection,Current,Available,72485-201-01,12/18/2020,02/18/2026,Reverified,openfda_drug_shortages
Irinotecan Hydrochloride Injection,"Teva Pharmaceuticals USA, Inc.",Oncology,Injection,To Be Discontinued,,45963-614-55,08/04/2025,08/04/2025,New,openfda_drug_shortages
Levothyroxine Sodium Tablet,"EMD Serono, Inc.",Endocrinology/Metabolism,Tablet,To Be Discontinued,,72305-200-90,07/10/2025,07/10/2025,New,openfda_drug_shortages
Sterile Water Irrigant,Baxter Healthcare,Gastroenterology; Other; Pediatric,Irrigant,Current,Unavailable,0338-0004-03,04/28/2023,05/16/2026,Revised,openfda_drug_shortages
Lasmiditan Succinate Tablet,Eli Lilly and Co.,Neurology,Tablet,To Be Discontinued,,0002-4312-08,11/03/2025,11/03/2025,New,openfda_drug_shortages
Quinapril/Hydrochlorothiazide Tablet,Aurobindo Pharma USA,Cardiovascular,Tablet,Current,Unavailable,65862-161-90,01/19/2023,04/15/2026,Reverified,openfda_drug_shortages
Sodium Acetate Injection,"Hikma Pharmaceuticals USA, Inc.",Endocrinology/Metabolism; Gastroenterology; Pediatric; Total Parenteral Nutrition,Injection,Current,Unavailable,0641-6262-01,02/03/2016,05/12/2026,Reverified,openfda_drug_shortages
Furosemide Injection,"Hospira, Inc., a Pfizer Company",Cardiovascular,Injection,Current,Available,0409-6102-10,04/07/2020,05/08/2026,Reverified,openfda_drug_shortages
Insulin Degludec Injection,"Novo Nordisk, Inc.",Endocrinology/Metabolism,Injection,To Be Discontinued,,73070-503-15,07/21/2025,07/21/2025,New,openfda_drug_shortages
Ropivacaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia,Injection,Current,Unavailable,63323-288-20,03/23/2018,04/23/2026,Reverified,openfda_drug_shortages
Furosemide Oral Solution,"Hikma Pharmaceuticals USA, Inc.",Cardiovascular,Oral Solution,Current,Unavailable,0054-3294-46,03/31/2026,05/12/2026,Reverified,openfda_drug_shortages
Pilocarpine Hydrochloride Ophthalmic Solution,AbbVie Inc.,Ophthalmology,Ophthalmic Solution,To Be Discontinued,,0074-7098-04,03/24/2026,03/24/2026,New,openfda_drug_shortages
Sodium Bicarbonate Injection,"Hospira, Inc., a Pfizer Company",Endocrinology/Metabolism; Gastroenterology; Pediatric,Injection,To Be Discontinued,,0409-4916-14,11/07/2025,11/07/2025,New,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Oryza Pharmaceuticals Inc.,Psychiatry,Tablet,Current,Unavailable,72516-016-01,10/12/2022,04/01/2026,Revised,openfda_drug_shortages
"Lamotrigine Tablet, Extended Release","Par Health, Inc.",Neurology,Tablet,To Be Discontinued,,49884-605-11,04/29/2026,04/29/2026,New,openfda_drug_shortages
Sodium Bicarbonate Injection,"Hospira, Inc., a Pfizer Company",Endocrinology/Metabolism; Gastroenterology; Pediatric,Injection,Current,Unavailable,0409-4916-14,03/01/2017,05/08/2026,Reverified,openfda_drug_shortages
Hydromorphone Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Analgesia/Addiction,Injection,Current,Available,0409-2634-05,10/31/2017,05/08/2026,Reverified,openfda_drug_shortages
Pramlintide Acetate Injection,AstraZeneca AB,Endocrinology/Metabolism,Injection,To Be Discontinued,,0310-6615-02,10/27/2025,10/27/2025,New,openfda_drug_shortages
Tiagabine Hydrochloride Tablet,"Teva Pharmaceuticals USA, Inc.",Neurology,Tablet,To Be Discontinued,,0093-5031-56,04/15/2026,04/15/2026,New,openfda_drug_shortages
Glyburide Tablet,"Teva Pharmaceuticals USA, Inc.",Endocrinology/Metabolism,Tablet,To Be Discontinued,,0093-8036-01,06/10/2025,06/10/2025,New,openfda_drug_shortages
Levothyroxine Sodium Tablet,"EMD Serono, Inc.",Endocrinology/Metabolism,Tablet,To Be Discontinued,,72305-088-90,07/10/2025,07/10/2025,New,openfda_drug_shortages
Sterile Water Injection,"Hospira, Inc., a Pfizer Company",Other,Injection,Current,Available,0409-4887-50,11/23/2021,05/08/2026,Reverified,openfda_drug_shortages
Insulin Glargine Injection,Eli Lilly and Co.,Endocrinology/Metabolism,Injection,To Be Discontinued,,0002-8214-05,10/24/2025,10/24/2025,New,openfda_drug_shortages
Quinapril Hydrochloride Tablet,Aurobindo Pharma USA,Cardiovascular,Tablet,Current,Unavailable,65862-618-90,01/19/2023,04/15/2026,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,Rhodes Pharmaceuticals L.P.,Psychiatry,Capsule,Current,Available,42858-161-01,07/14/2023,05/08/2026,Revised,openfda_drug_shortages
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection","Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Unavailable,0409-9046-01,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Liraglutide Injection,"Novo Nordisk, Inc.",Endocrinology/Metabolism,Injection,Current,Available,0480-3667-22,07/18/2023,04/20/2026,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,SpecGx LLC,Psychiatry,Capsule,Current,Limited Availability,0406-5112-01,07/14/2023,05/08/2026,Revised,openfda_drug_shortages
Amantadine Hydrochloride Tablet,"Upsher-Smith Laboratories, LLC",Antiviral; Neurology,Tablet,To Be Discontinued,,0832-0111-00,07/23/2025,07/23/2025,New,openfda_drug_shortages
Lidocaine Hydrochloride Injection,Eugia US LLC,Anesthesia,Injection,Current,Unavailable,55150-159-74,02/20/2018,05/05/2026,Revised,openfda_drug_shortages
Sterile Water Injection,Nephron Pharmaceuticals Corporation,Other,Injection,Current,Unavailable,0487-6105-01,11/23/2021,05/15/2026,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Mylan Pharmaceuticals Inc., a Viatris Company",Psychiatry,Capsule,Current,Available,0378-6860-77,07/14/2023,05/19/2026,Reverified,openfda_drug_shortages
Bumetanide Injection,Sagent Pharmaceuticals,Cardiovascular,Injection,Current,Limited Availability,25021-321-04,01/31/2018,04/23/2026,Reverified,openfda_drug_shortages
Levothyroxine Sodium Tablet,"EMD Serono, Inc.",Endocrinology/Metabolism,Tablet,To Be Discontinued,,72305-050-90,07/10/2025,07/10/2025,New,openfda_drug_shortages
Lidocaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia; Pediatric,Injection,Current,Available,0409-4713-02,02/22/2012,05/08/2026,Reverified,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,Eugia US LLC,Anesthesia,Injection,Current,Available,55150-168-30,02/20/2018,05/05/2026,Revised,openfda_drug_shortages
Levothyroxine Sodium Tablet,"EMD Serono, Inc.",Endocrinology/Metabolism,Tablet,To Be Discontinued,,72305-100-30,07/10/2025,07/10/2025,New,openfda_drug_shortages
Arsenic Trioxide Injection,Ingenus Pharmaceuticals LLC,Oncology,Injection,To Be Discontinued,,50742-438-10,02/24/2026,02/24/2026,New,openfda_drug_shortages
Activated Charcoal Oral Suspension,Padagis US LLC,Other,Oral Suspension,To Be Discontinued,,0574-0521-76,05/15/2026,05/15/2026,New,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,Kindos Pharmaceuticals Co. Ltd.,Anesthesia,Injection,To Be Discontinued,,71288-722-32,05/05/2026,05/05/2026,New,openfda_drug_shortages
Lidocaine Hydrochloride Injection,"Spectra Medical Devices, LLC",Anesthesia,Injection,Current,Unavailable,65282-1605-1,06/14/2018,05/15/2026,Reverified,openfda_drug_shortages
Lidocaine Hydrochloride Injection,Sintetica US,Anesthesia; Pediatric,Injection,Current,Available,83090-006-10,02/22/2012,08/19/2025,Reverified,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,Kindos Pharmaceuticals Co. Ltd.,Anesthesia,Injection,Current,Limited Availability,71288-725-32,02/20/2018,05/05/2026,Revised,openfda_drug_shortages
Lidocaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia; Pediatric,Injection,Current,Available,0409-4776-01,02/22/2012,05/08/2026,Reverified,openfda_drug_shortages
Ropivacaine Hydrochloride Injection,Eugia US LLC,Anesthesia,Injection,Current,Available,55150-201-20,03/23/2018,05/05/2026,Revised,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Sun Pharmaceutical Industries, Inc.",Psychiatry,Capsule,Current,Available,57664-046-88,07/14/2023,04/17/2026,Revised,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Available,0409-1159-02,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Lidocaine Hydrochloride Injection,Sintetica US,Anesthesia; Pediatric,Injection,Current,Available,83090-002-10,02/22/2012,08/19/2025,Reverified,openfda_drug_shortages
Acetaminophen; Oxycodone Hydrochloride Tablet,"Endo Pharmaceuticals, Inc.",Analgesia/Addiction,Tablet,To Be Discontinued,,60951-602-70,11/03/2025,11/03/2025,New,openfda_drug_shortages
Carboplatin Injection,Gland Pharma Limited,Oncology,Injection,Current,Limited Availability,54288-166-01,04/28/2023,04/24/2026,Revised,openfda_drug_shortages
Lidocaine Hydrochloride Injection,B. Braun Medical Inc.,Cardiovascular,Injection,Current,Available,0264-9594-20,10/25/2017,05/19/2026,Reverified,openfda_drug_shortages
Sodium Bicarbonate Injection,"Fresenius Kabi USA, LLC",Endocrinology/Metabolism; Gastroenterology; Pediatric,Injection,Current,Available,63323-089-50,07/24/2017,04/23/2026,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,Alvogen,Psychiatry,Capsule,Current,Available,47781-568-01,07/14/2023,05/19/2026,Reverified,openfda_drug_shortages
Dexamethasone Sodium Phosphate Injection,"Mylan Institutional, a Viatris Company",Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology,Injection,Current,Available,67457-420-10,02/08/2019,05/19/2026,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Teva Pharmaceuticals USA, Inc.",Psychiatry,Capsule,Current,Available,0480-3566-01,07/14/2023,05/18/2026,Revised,openfda_drug_shortages
"Methylphenidate Hydrochloride Tablet, Extended Release","Lannett Company, Inc.",Psychiatry,Tablet,Current,Unavailable,62175-312-37,07/26/2023,05/15/2026,Revised,openfda_drug_shortages
Decitabine Injection,Ingenus Pharmaceuticals LLC,Oncology,Injection,To Be Discontinued,,50742-430-01,02/20/2026,02/20/2026,New,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,Alvogen,Psychiatry,Capsule,Current,Available,47781-564-01,07/14/2023,05/19/2026,Reverified,openfda_drug_shortages
Carboplatin Injection,Accord Healthcare Inc.,Oncology,Injection,Current,Unavailable,16729-295-12,04/28/2023,05/18/2026,Revised,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,Alvogen,Psychiatry,Capsule,Current,Available,47781-567-01,07/14/2023,05/19/2026,Reverified,openfda_drug_shortages
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection","Fresenius Kabi USA, LLC",Anesthesia,Injection,Current,Available,63323-460-37,02/20/2018,05/08/2026,Revised,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Sun Pharmaceutical Industries, Inc.",Psychiatry,Capsule,Current,Available,57664-047-88,07/14/2023,04/17/2026,Revised,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",SpecGx LLC,Psychiatry,Tablet,Current,Limited Availability,0406-8893-01,10/12/2022,05/08/2026,Revised,openfda_drug_shortages
Cefepime Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anti-Infective,Injection,To Be Discontinued,,63323-340-20,02/10/2026,02/10/2026,New,openfda_drug_shortages
Lidocaine Hydrochloride Injection,Sintetica US,Anesthesia; Pediatric,Injection,Current,Available,83090-007-10,02/22/2012,08/19/2025,Reverified,openfda_drug_shortages
Atropine Sulfate Injection,"American Regent, Inc.",Anesthesia; Neurology; Pediatric,Injection,Current,Available,0517-1001-25,01/01/2012,05/01/2026,Reverified,openfda_drug_shortages
"Lisdexamfetamine Dimesylate Tablet, Chewable",Takeda Pharmaceuticals USA Inc.,Psychiatry,"Tablet, Chewable",Current,Available,59417-120-01,07/14/2023,05/08/2026,Reverified,openfda_drug_shortages
Carboplatin Injection,"Hospira, Inc., a Pfizer Company",Oncology,Injection,Current,Available,61703-360-18,04/28/2023,05/08/2026,Revised,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Hikma Pharmaceuticals USA, Inc.",Psychiatry,Capsule,Current,Limited Availability,0054-0372-25,07/14/2023,05/12/2026,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Elite Laboratories, Inc.",Psychiatry,Capsule,Current,Limited Availability,64850-550-01,07/14/2023,05/18/2026,Reverified,openfda_drug_shortages
Celecoxib Capsule,"Teva Pharmaceuticals USA, Inc.",Analgesia/Addiction,Capsule,To Be Discontinued,,0591-3985-60,08/15/2025,08/15/2025,New,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Mylan Pharmaceuticals Inc., a Viatris Company",Psychiatry,Capsule,Current,Available,0378-6857-77,07/14/2023,05/19/2026,Reverified,openfda_drug_shortages
Voriconazole Tablet,Pfizer Inc.,Anti-Infective,Tablet,To Be Discontinued,,0049-3170-30,07/28/2025,07/28/2025,New,openfda_drug_shortages
