generic_name,company_name,therapeutic_category,dosage_form,status,availability,package_ndc,initial_posting_date,update_date,update_type,source_id
Bupivacaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia,Injection,Current,Available,63323-464-17,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Voriconazole Injection,Pfizer Inc.,Antiviral,Injection,To Be Discontinued,,0049-3190-01,10/16/2025,10/16/2025,New,openfda_drug_shortages
Lincomycin Hydrochloride Injection,"XGen Pharmaceuticals DJB, Inc.",Anti-Infective,Injection,To Be Discontinued,,39822-0350-2,03/26/2026,03/26/2026,New,openfda_drug_shortages
Lidocaine Hydrochloride Injection,Eugia US LLC,Anesthesia,Injection,Current,Unavailable,55150-162-05,02/20/2018,05/05/2026,Revised,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia,Injection,Current,Available,63323-465-57,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,Kindos Pharmaceuticals Co. Ltd.,Anesthesia,Injection,To Be Discontinued,,71288-728-32,05/05/2026,05/05/2026,New,openfda_drug_shortages
Liraglutide Injection,"Novo Nordisk, Inc.",Endocrinology/Metabolism,Injection,Current,Available,0480-3667-20,07/18/2023,04/20/2026,Reverified,openfda_drug_shortages
Sumatriptan Nasal Spray,Prasco Laboratories,Neurology,Nasal Spray,To Be Discontinued,,66993-082-69,09/08/2025,09/08/2025,New,openfda_drug_shortages
Bleomycin Sulfate Injection,"Hospira, Inc., a Pfizer Company",Hematology; Oncology; Pediatric,Injection,To Be Discontinued,,0409-0323-20,06/13/2025,06/13/2025,New,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,Takeda Pharmaceuticals USA Inc.,Psychiatry,Capsule,Current,Available,59417-103-10,07/14/2023,05/08/2026,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Sun Pharmaceutical Industries, Inc.",Psychiatry,Capsule,Current,Available,57664-050-88,07/14/2023,04/17/2026,Revised,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Available,0409-1162-02,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Available,0409-1162-01,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Mylan Pharmaceuticals Inc., a Viatris Company",Psychiatry,Capsule,Current,Available,0378-6859-77,07/14/2023,05/19/2026,Reverified,openfda_drug_shortages
Atropine Sulfate Injection,Accord Healthcare Inc.,Anesthesia; Neurology; Pediatric,Injection,Current,Unavailable,16729-483-03,01/01/2020,05/18/2026,Reverified,openfda_drug_shortages
Vigabatrin Oral Solution,"Pyros Pharmaceuticals, Inc.",Neurology,Oral Solution,To Be Discontinued,,80789-117-50,10/16/2025,10/16/2025,New,openfda_drug_shortages
