hold_years,exit_multiple,entry_ev,exit_ev,entry_equity,exit_debt,exit_equity,underwater,moic,irr,total_value_created,rcm_uplift_share
3,9.0,450000000.0,649439851.8300853,180000000.0,270000000.0,379439851.8300853,False,2.107999176833807,0.2822030697912178,199439851.83008528,0.7907782741658381
3,10.0,450000000.0,721599835.3667614,180000000.0,270000000.0,451599835.36676145,False,2.508887974259786,0.3588152842836605,271599835.36676145,0.5806804029064087
3,11.0,450000000.0,793759818.9034375,180000000.0,270000000.0,523759818.9034375,False,2.9097767716857637,0.42764388965672506,343759818.9034375,0.4587874822984677
5,9.0,450000000.0,679386035.2650852,180000000.0,270000000.0,409386035.2650852,False,2.2743668625838067,0.17861537951039,229386035.26508522,0.6875427340109344
5,10.0,450000000.0,754873372.5167614,180000000.0,270000000.0,484873372.5167614,False,2.6937409584264524,0.21918936584563525,304873372.5167614,0.5173055965109401
5,11.0,450000000.0,830360709.7684376,180000000.0,270000000.0,560360709.7684376,False,3.1131150542690977,0.2549864428472589,380360709.7684376,0.41463983471400156
7,9.0,450000000.0,711155941.2712768,180000000.0,270000000.0,441155941.27127683,False,2.4508663403959825,0.13662470040667773,261155941.27127683,0.6039024081258048
7,10.0,450000000.0,790173268.0791965,180000000.0,270000000.0,520173268.07919645,False,2.889851489328869,0.16369551545881678,340173268.07919645,0.46362461906726865
7,11.0,450000000.0,869190594.8871162,180000000.0,270000000.0,599190594.8871162,False,3.3288366382617567,0.18744420349969892,419190594.8871162,0.3762314893361473
