payer,metric,mean_value_actual,mean_value_bench,drag_mean_value
Commercial,underpay_cost,136836.97164543555,50860.149409043,85976.82223639256
Commercial,underpay_leakage,372837.36297936965,69644.95936301973,303192.4036163499
Medicaid,underpay_cost,61031.60360788965,25879.693964341583,35151.90964354807
Medicaid,underpay_leakage,114837.01301188633,32544.50122813214,82292.51178375419
Medicare,underpay_cost,80669.2218624176,26367.053453809902,54302.1684086077
Medicare,underpay_leakage,138020.69692787068,22701.17630056777,115319.5206273029
SelfPay,underpay_cost,0.0,0.0,0.0
SelfPay,underpay_leakage,0.0,0.0,0.0
