year,payer_type,category,doi_region,claim_type,total_spend,member_months,pppy,source_id
2017,All,Pharmacy,Denver,Pharmacy,1993438174.8114,19738747,1211.8934447934714,civhc_coc_fy23_total
2017,All,Pharmacy,East,Pharmacy,234014275.43,2059066,1363.808301997119,civhc_coc_fy23_total
2017,All,Pharmacy,Ft. Collins,Pharmacy,233174570.9,2106572,1328.2692691253847,civhc_coc_fy23_total
2017,All,Pharmacy,Grand Junction,Pharmacy,140655186.24,1098275,1536.8302427716194,civhc_coc_fy23_total
2017,All,Pharmacy,Greeley,Pharmacy,233631037.06,2143283,1308.073849659611,civhc_coc_fy23_total
2017,All,Pharmacy,Pueblo,Pharmacy,187456662.01,1436884,1565.526475428775,civhc_coc_fy23_total
2017,All,Pharmacy,West,Pharmacy,262161230.6,2674165,1176.4175984653155,civhc_coc_fy23_total
2017,CHP+,Medical,All,Professional,51318333.09,852567,722.3127297678658,civhc_coc_fy23_total
2017,CHP+,Medical,All,DME,384128.65,852567,5.406664578854214,civhc_coc_fy23_total
2017,CHP+,Medical,All,Inpatient,21678751.48,852567,305.1314650461489,civhc_coc_fy23_total
2017,CHP+,Medical,All,Outpatient,44568437.6904939,852567,627.3070061190813,civhc_coc_fy23_total
2017,CHP+,Medical,Boulder,Outpatient,1482022.50077579,32171,552.8043893354102,civhc_coc_fy23_total
2017,CHP+,Medical,Boulder,Inpatient,929138.76,32171,346.57502471169687,civhc_coc_fy23_total
2017,CHP+,Medical,Boulder,DME,27854.23,32171,10.389815672500077,civhc_coc_fy23_total
2017,CHP+,Medical,Boulder,Professional,2172626.75,32171,810.4044325634889,civhc_coc_fy23_total
2017,CHP+,Medical,Colorado Springs,Professional,5385378.95,84469,765.0682191099693,civhc_coc_fy23_total
2017,CHP+,Medical,Colorado Springs,Outpatient,2379237.86374384,84469,338.0039347562547,civhc_coc_fy23_total
2017,CHP+,Medical,Colorado Springs,Inpatient,1098884.48,84469,156.11187252128,civhc_coc_fy23_total
2017,CHP+,Medical,Colorado Springs,DME,39729.59,84469,5.644142584853615,civhc_coc_fy23_total
2017,CHP+,Medical,Denver,DME,172088.43,412197,5.0098888638199695,civhc_coc_fy23_total
2017,CHP+,Medical,Denver,Professional,22697269.96,412197,660.7695823113705,civhc_coc_fy23_total
2017,CHP+,Medical,Denver,Outpatient,28747279.0236641,412197,836.8992212072606,civhc_coc_fy23_total
2017,CHP+,Medical,Denver,Inpatient,12594241.98,412197,366.64726759292284,civhc_coc_fy23_total
2017,CHP+,Medical,East,DME,27516.61,56591,5.8348380484529345,civhc_coc_fy23_total
2017,CHP+,Medical,East,Inpatient,874139.37,56591,185.35937587248856,civhc_coc_fy23_total
2017,CHP+,Medical,East,Outpatient,1552844.87939001,56591,329.277421368771,civhc_coc_fy23_total
2017,CHP+,Medical,East,Professional,2766272.13,56591,586.5820635790144,civhc_coc_fy23_total
2017,CHP+,Medical,Ft. Collins,Professional,2998236.0,49471,727.271168967678,civhc_coc_fy23_total
2017,CHP+,Medical,Ft. Collins,Outpatient,1542570.81852541,49471,374.1757761578485,civhc_coc_fy23_total
2017,CHP+,Medical,Ft. Collins,DME,7196.43,49471,1.7456117725536173,civhc_coc_fy23_total
2017,CHP+,Medical,Ft. Collins,Inpatient,777142.91,49471,188.50872066463182,civhc_coc_fy23_total
2017,CHP+,Medical,Grand Junction,Outpatient,652787.26,28847,271.551534648317,civhc_coc_fy23_total
2017,CHP+,Medical,Grand Junction,Inpatient,761187.96,28847,316.64490310950873,civhc_coc_fy23_total
2017,CHP+,Medical,Grand Junction,DME,9168.43,28847,3.8139550039865497,civhc_coc_fy23_total
2017,CHP+,Medical,Grand Junction,Professional,2017934.47,28847,839.4361160605956,civhc_coc_fy23_total
2017,CHP+,Medical,Greeley,Professional,4886913.92,68907,851.0451338760939,civhc_coc_fy23_total
2017,CHP+,Medical,Greeley,Inpatient,1428566.39,68907,248.78164308415688,civhc_coc_fy23_total
2017,CHP+,Medical,Greeley,DME,21992.61,68907,3.829963864338892,civhc_coc_fy23_total
2017,CHP+,Medical,Greeley,Outpatient,3166386.64737551,68907,551.4191557970325,civhc_coc_fy23_total
2017,CHP+,Medical,Pueblo,Professional,1171376.63,19210,731.7292847475272,civhc_coc_fy23_total
2017,CHP+,Medical,Pueblo,DME,2922.24,19210,1.8254492451847995,civhc_coc_fy23_total
2017,CHP+,Medical,Pueblo,Inpatient,210873.69,19210,131.72744820406038,civhc_coc_fy23_total
2017,CHP+,Medical,Pueblo,Outpatient,668754.415484645,19210,417.7539295062853,civhc_coc_fy23_total
2017,CHP+,Medical,West,DME,75660.08,100850,9.002686762518593,civhc_coc_fy23_total
2017,CHP+,Medical,West,Inpatient,3004575.94,100850,357.5102754586019,civhc_coc_fy23_total
2017,CHP+,Medical,West,Outpatient,4376554.28153459,100850,520.7600533308387,civhc_coc_fy23_total
2017,CHP+,Medical,West,Professional,7222324.28,100850,859.374232622707,civhc_coc_fy23_total
2017,CHP+,Pharmacy,All,Pharmacy,25024134.13,852567,352.2181946521505,civhc_coc_fy23_total
2017,CHP+,Pharmacy,Boulder,Pharmacy,729318.83,32171,272.04084299524413,civhc_coc_fy23_total
2017,CHP+,Pharmacy,Colorado Springs,Pharmacy,3394698.05,84469,482.2642223774402,civhc_coc_fy23_total
2017,CHP+,Pharmacy,Denver,Pharmacy,12039268.22,412197,350.490708666002,civhc_coc_fy23_total
2017,CHP+,Pharmacy,East,Pharmacy,1157935.75,56591,245.53778869431534,civhc_coc_fy23_total
2017,CHP+,Pharmacy,Ft. Collins,Pharmacy,3251075.5,49471,788.6015241252451,civhc_coc_fy23_total
2017,CHP+,Pharmacy,Grand Junction,Pharmacy,591602.95,28847,246.09960827815715,civhc_coc_fy23_total
2017,CHP+,Pharmacy,Greeley,Pharmacy,1599919.98,68907,278.62248770081413,civhc_coc_fy23_total
2017,CHP+,Pharmacy,Pueblo,Pharmacy,500990.35,19210,312.9559708485164,civhc_coc_fy23_total
2017,CHP+,Pharmacy,West,Pharmacy,1759324.5,100850,209.3395537927615,civhc_coc_fy23_total
2017,Commercial,Medical,All,Inpatient,1437272363.85,16717736,1031.6748850562062,civhc_coc_fy23_total
2017,Commercial,Medical,All,DME,26757418.98,16717736,19.206489907485082,civhc_coc_fy23_total
2017,Commercial,Medical,All,Outpatient,2105971185.25,16717736,1511.6672630193466,civhc_coc_fy23_total
2017,Commercial,Medical,All,Professional,2346047869.2,16717736,1683.9944374286085,civhc_coc_fy23_total
2017,Commercial,Medical,Boulder,Professional,148520517.12,1120740,1590.2405602012957,civhc_coc_fy23_total
2017,Commercial,Medical,Boulder,Outpatient,103604932.01,1120740,1109.3198994592858,civhc_coc_fy23_total
2017,Commercial,Medical,Boulder,Inpatient,72625992.39,1120740,777.6218468868783,civhc_coc_fy23_total
2017,Commercial,Medical,Boulder,DME,1327701.96,1120740,14.215985438192622,civhc_coc_fy23_total
2017,Commercial,Medical,Colorado Springs,Professional,220987157.51,1613226,1643.8154915182372,civhc_coc_fy23_total
2017,Commercial,Medical,Colorado Springs,Outpatient,192279396.78,1613226,1430.272485913319,civhc_coc_fy23_total
2017,Commercial,Medical,Colorado Springs,Inpatient,118844724.44,1613226,884.0278381826229,civhc_coc_fy23_total
2017,Commercial,Medical,Colorado Springs,DME,2967008.15,1613226,22.070123962792564,civhc_coc_fy23_total
2017,Commercial,Medical,Denver,Outpatient,974494583.08,9416701,1241.8292772553787,civhc_coc_fy23_total
2017,Commercial,Medical,Denver,Inpatient,786516027.62,9416701,1002.2822569645143,civhc_coc_fy23_total
2017,Commercial,Medical,Denver,DME,14259507.92,9416701,18.171342069797056,civhc_coc_fy23_total
2017,Commercial,Medical,Denver,Professional,1382303979.99,9416701,1761.5136935833473,civhc_coc_fy23_total
2017,Commercial,Medical,East,Outpatient,135697753.74,648282,2511.8282551112015,civhc_coc_fy23_total
2017,Commercial,Medical,East,Inpatient,77119556.85,648282,1427.5187066739472,civhc_coc_fy23_total
2017,Commercial,Medical,East,DME,1335056.83,648282,24.712520106990482,civhc_coc_fy23_total
2017,Commercial,Medical,East,Professional,79897065.33,648282,1478.9316747341434,civhc_coc_fy23_total
2017,Commercial,Medical,Ft. Collins,Professional,124794007.75,1028084,1456.6203666237388,civhc_coc_fy23_total
2017,Commercial,Medical,Ft. Collins,Outpatient,155896994.34,1028084,1819.6605842324168,civhc_coc_fy23_total
2017,Commercial,Medical,Ft. Collins,Inpatient,87365997.41,1028084,1019.7532195034646,civhc_coc_fy23_total
2017,Commercial,Medical,Ft. Collins,DME,1464472.16,1028084,17.093609004711677,civhc_coc_fy23_total
2017,Commercial,Medical,Grand Junction,Professional,44660639.62,378602,1415.543698765458,civhc_coc_fy23_total
2017,Commercial,Medical,Grand Junction,Outpatient,66166328.92,378602,2097.178427583584,civhc_coc_fy23_total
2017,Commercial,Medical,Grand Junction,Inpatient,38575503.13,378602,1222.6719287272651,civhc_coc_fy23_total
2017,Commercial,Medical,Grand Junction,DME,641894.09,378602,20.345188562131206,civhc_coc_fy23_total
2017,Commercial,Medical,Greeley,DME,1530972.61,922904,19.906373057219387,civhc_coc_fy23_total
2017,Commercial,Medical,Greeley,Inpatient,84757598.26,922904,1102.0552290595774,civhc_coc_fy23_total
2017,Commercial,Medical,Greeley,Outpatient,136568747.23,922904,1775.7263667293673,civhc_coc_fy23_total
2017,Commercial,Medical,Greeley,Professional,112972776.61,922904,1468.9212738486342,civhc_coc_fy23_total
2017,Commercial,Medical,Pueblo,Professional,50161193.71,371176,1621.6951648813501,civhc_coc_fy23_total
2017,Commercial,Medical,Pueblo,Outpatient,57722757.78,371176,1866.158085005496,civhc_coc_fy23_total
2017,Commercial,Medical,Pueblo,Inpatient,34831700.83,371176,1126.0976193503889,civhc_coc_fy23_total
2017,Commercial,Medical,Pueblo,DME,931890.31,371176,30.12771224432614,civhc_coc_fy23_total
2017,Commercial,Medical,West,Inpatient,136635262.92,1228218,1334.9610207959824,civhc_coc_fy23_total
2017,Commercial,Medical,West,DME,2298914.95,1228218,22.460979565516872,civhc_coc_fy23_total
2017,Commercial,Medical,West,Professional,181750531.56,1228218,1775.7485875634457,civhc_coc_fy23_total
2017,Commercial,Medical,West,Outpatient,283539691.37,1228218,2770.2543819094003,civhc_coc_fy23_total
2017,Commercial,Pharmacy,All,Pharmacy,1311111190.0514,15572489,1010.3288100326672,civhc_coc_fy23_total
2017,Commercial,Pharmacy,Boulder,Pharmacy,87645499.79,1042750,1008.6271853080797,civhc_coc_fy23_total
2017,Commercial,Pharmacy,Colorado Springs,Pharmacy,143578627.49,1509860,1141.128005166042,civhc_coc_fy23_total
