payer_type,year,metric,integrated_systems,value_based_payments,total_spend,ffs_spend,apm_spend,pct_ffs,pct_apm,source_id
4 CHP+,2023,Primary Care Spending,No,Excluded,8323949.36,7813496.2,510453.16,0.938676565903567,0.0613234340964323,civhc_apm_fy26
4 CHP+,2023,Primary Care Spending,No,Included,8323949.36,7813496.2,510453.16,0.938676565903567,0.0613234340964323,civhc_apm_fy26
4 CHP+,2023,Primary Care Spending,Yes,Excluded,12495852.9,8320854.79,4174998.11,0.665889303962597,0.334110696037402,civhc_apm_fy26
4 CHP+,2023,Primary Care Spending,Yes,Included,12495852.9,8320854.79,4174998.11,0.665889303962597,0.334110696037402,civhc_apm_fy26
4 CHP+,2023,Total Medical Spending,No,Excluded,84324323.09,83813869.93,510453.16,0.993946548975493,0.00605345102450676,civhc_apm_fy26
4 CHP+,2023,Total Medical Spending,No,Included,84324323.09,83813869.93,510453.16,0.993946548975493,0.00605345102450676,civhc_apm_fy26
4 CHP+,2023,Total Medical Spending,Yes,Excluded,104245911.75,96684436.52,7561475.23,0.927465018981907,0.0725349810180925,civhc_apm_fy26
4 CHP+,2023,Total Medical Spending,Yes,Included,104245911.75,96684436.52,7561475.23,0.927465018981907,0.0725349810180925,civhc_apm_fy26
4 CHP+,2024,Primary Care Spending,No,Excluded,15809300.16,15383434.78,425865.38,0.973062350914336,0.0269376490856632,civhc_apm_fy26
4 CHP+,2024,Primary Care Spending,No,Included,15809300.16,15383434.78,425865.38,0.973062350914336,0.0269376490856632,civhc_apm_fy26
4 CHP+,2024,Primary Care Spending,Yes,Excluded,23837552.11,17374209.2,6463342.91,0.728858782136082,0.271141217863917,civhc_apm_fy26
4 CHP+,2024,Primary Care Spending,Yes,Included,23837552.11,17374209.2,6463342.91,0.728858782136082,0.271141217863917,civhc_apm_fy26
4 CHP+,2024,Total Medical Spending,No,Excluded,155910115.93,155484250.55,425865.38,0.997268519893916,0.00273148010608371,civhc_apm_fy26
4 CHP+,2024,Total Medical Spending,No,Included,155910115.93,155484250.55,425865.38,0.997268519893916,0.00273148010608371,civhc_apm_fy26
4 CHP+,2024,Total Medical Spending,Yes,Excluded,192644086.76,181810024.38,10834062.38,0.943761251319915,0.0562387486800843,civhc_apm_fy26
4 CHP+,2024,Total Medical Spending,Yes,Included,192644086.76,181810024.38,10834062.38,0.943761251319915,0.0562387486800843,civhc_apm_fy26
Total,2022,Primary Care Spending,No,Excluded,2540011499.352,365701696.682,2174309802.67,0.143976394112899,0.8560236058871,civhc_apm_fy26
Total,2022,Primary Care Spending,No,Included,2540011499.352,365701696.682,1700663446.18,0.143976394112899,0.669549506612024,civhc_apm_fy26
Total,2022,Primary Care Spending,Yes,Excluded,3151709648.832,383339410.932,2768370237.9,0.121629037457198,0.878370962542801,civhc_apm_fy26
Total,2022,Primary Care Spending,Yes,Included,3151709648.832,383339410.932,2265335493.98,0.121629037457198,0.718764019020443,civhc_apm_fy26
Total,2022,Total Medical Spending,No,Excluded,17437448027.87,11528592841.12,5908855186.75,0.661139911224052,0.338860088775947,civhc_apm_fy26
Total,2022,Total Medical Spending,No,Included,17437448027.87,11528592841.12,5004797249.23,0.661139911224052,0.287014317762032,civhc_apm_fy26
Total,2022,Total Medical Spending,Yes,Excluded,21307853504.63,12835221279.33,8472632225.3,0.60237044883667,0.397629551163329,civhc_apm_fy26
Total,2022,Total Medical Spending,Yes,Included,21307853504.63,12835221279.33,7457620598.62,0.60237044883667,0.34999398681803,civhc_apm_fy26
Total,2023,Primary Care Spending,No,Excluded,3428901350.824,384818785.354,3044082565.47,0.112228012993585,0.887771987006414,civhc_apm_fy26
Total,2023,Primary Care Spending,No,Included,3428901350.824,384818785.354,1822006443.69,0.112228012993585,0.531367414012115,civhc_apm_fy26
Total,2023,Primary Care Spending,Yes,Excluded,4017087848.824,401209788.514,3615878060.31,0.0998757815643623,0.900124218435637,civhc_apm_fy26
Total,2023,Primary Care Spending,Yes,Included,4017087848.824,401209788.514,2393791259.27,0.0998757815643623,0.595902143382495,civhc_apm_fy26
Total,2023,Total Medical Spending,No,Excluded,20026138802.99,12859136810.19,7167001992.8,0.642117631196587,0.357882368803412,civhc_apm_fy26
Total,2023,Total Medical Spending,No,Included,20026138802.99,12859136810.19,5461443703.14,0.642117631196587,0.272715761978269,civhc_apm_fy26
Total,2023,Total Medical Spending,Yes,Excluded,23866291102.04,14180578916.5,9685712185.54,0.594167684282033,0.405832315717966,civhc_apm_fy26
Total,2023,Total Medical Spending,Yes,Included,23866291102.04,14180578916.5,7958128210.24,0.594167684282033,0.333446373222179,civhc_apm_fy26
Total,2024,Primary Care Spending,No,Excluded,3362629500.706,411762274.916,2950867225.79,0.122452466092249,0.87754753390775,civhc_apm_fy26
Total,2024,Primary Care Spending,No,Included,3362629500.706,411762274.916,1707426491.97,0.122452466092249,0.507765274649353,civhc_apm_fy26
Total,2024,Primary Care Spending,Yes,Excluded,3988920291.496,433313736.346,3555606555.15,0.108629329412719,0.89137067058728,civhc_apm_fy26
Total,2024,Primary Care Spending,Yes,Included,3988920291.496,433313736.346,2312165821.33,0.108629329412719,0.579647035379302,civhc_apm_fy26
Total,2024,Total Medical Spending,No,Excluded,21307574238.55,13874484259.41,7433089979.14,0.651152688901961,0.348847311098038,civhc_apm_fy26
Total,2024,Total Medical Spending,No,Included,21307574238.55,13874484259.41,5869372545.08,0.651152688901961,0.275459443640517,civhc_apm_fy26
Total,2024,Total Medical Spending,Yes,Excluded,25445773264.03,15355258240.1,10090515023.93,0.603450250097374,0.396549749902625,civhc_apm_fy26
Total,2024,Total Medical Spending,Yes,Included,25445773264.03,15355258240.1,8526797589.87,0.603450250097374,0.335096815545528,civhc_apm_fy26
Unknown,2022,Primary Care Spending,No,Excluded,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2022,Primary Care Spending,No,Included,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2022,Primary Care Spending,Yes,Excluded,0.0,0.0,0.0,,,civhc_apm_fy26
