organization_name,claim_type,year,county,urban_rural,doi_region,cah_flag,amb_flag,hospital_pct_medicare,claims,urf_pct_medicare,payer_min,payer_median,payer_max,source_id
Heart of the Rockies Regional Medical Center,Inpatient/Outpatient Combined,2024,Chaffee,Rural,East,1,0,2.3967,8044,2.2207,2.3967,2.4831,0.5513,civhc_rbp_fy26
Intermountain Health Good Samaritan Medical Center,Inpatient,2021,Boulder,Urban,Boulder,0,0,1.6909,3591,1.6794,1.6794,1.9401,0.1225,civhc_rbp_fy26
Intermountain Health Platte Valley Hospital,Inpatient,2022,Adams,Urban,Denver,0,0,1.854,314,2.0119,2.41,1.99,0.0015,civhc_rbp_fy26
Intermountain Health Platte Valley Hospital,Inpatient/Outpatient Combined,2024,Adams,Urban,Denver,0,0,3.0733,5618,2.3072,2.7948,2.3717,2.0207,civhc_rbp_fy26
Intermountain Health Platte Valley Hospital,Outpatient,2024,Adams,Urban,Denver,0,0,3.7797,5364,2.4045,3.0768,2.524,2.3495,civhc_rbp_fy26
Intermountain Health Saint Joseph Hospital,Inpatient/Outpatient Combined,2021,Denver,Urban,Denver,0,0,1.7966,25852,2.1842,1.8191,2.2969,0.0886,civhc_rbp_fy26
Kaiser Foundation Health Plan of Colorado - Denver,Outpatient,2024,Denver,Urban,Denver,0,1,0.3211,4390,2.4045,1.9042,2.524,0.0054,civhc_rbp_fy26
Keefe Memorial Hospital,Outpatient,2022,Cheyenne,Rural,East,1,0,3.2857,1224,2.3479,3.2857,2.7132,0.699,civhc_rbp_fy26
Keefe Memorial Hospital,Outpatient,2023,Cheyenne,Rural,East,1,0,4.4669,1566,2.3176,4.4669,2.8358,0.7483,civhc_rbp_fy26
Kit Carson County Health Services District,Outpatient,2023,Kit Carson,Rural,East,1,0,1.6921,2167,2.3176,1.6921,2.8358,0.0424,civhc_rbp_fy26
Lafayette Surgery Center,Outpatient,2023,Boulder,Urban,Boulder,0,1,1.3451,455,2.2475,2.2475,2.4647,0.0008,civhc_rbp_fy26
Lafayette Surgery Center,Outpatient,2024,Boulder,Urban,Boulder,0,1,1.556,769,2.2621,2.2621,2.524,0.0675,civhc_rbp_fy26
Lincoln Health,Inpatient/Outpatient Combined,2021,Lincoln,Rural,East,1,0,1.2205,1818,2.1124,1.2205,2.2483,0.0128,civhc_rbp_fy26
Melissa Memorial Hospital,Inpatient/Outpatient Combined,2021,Phillips,Rural,East,1,0,1.4057,1666,2.1124,1.2897,2.2483,0.0069,civhc_rbp_fy26
Middle Park Health - Granby,Outpatient,2023,Grand,Rural,West,1,0,1.8116,342,2.9891,1.8989,2.8358,0.0005,civhc_rbp_fy26
Middle Park Health - Kremmling,Inpatient/Outpatient Combined,2024,Grand,Rural,West,1,0,1.8393,2559,2.5642,1.8624,2.4831,1.4832,civhc_rbp_fy26
Middle Park Health - Kremmling,Outpatient,2021,Grand,Rural,West,1,0,1.816,2391,2.7793,1.8037,2.6902,0.0377,civhc_rbp_fy26
Mile High Surgicenter,Outpatient,2022,Arapahoe,Urban,Denver,0,1,1.3863,476,2.3542,2.5388,2.528,0.0871,civhc_rbp_fy26
Montrose Regional Health,Outpatient,2023,Montrose,Rural,West,0,0,4.6403,13095,2.9891,4.2666,2.8358,0.0069,civhc_rbp_fy26
Mountain Vista Orthopaedic Surgery Center,Outpatient,2024,Weld,Urban,Greeley,0,1,1.6853,502,2.9093,2.9093,2.524,0.8731,civhc_rbp_fy26
Mt. San Rafael Hospital,Inpatient/Outpatient Combined,2022,Las Animas,Rural,East,1,0,2.507,2040,2.1472,2.507,2.3417,0.0059,civhc_rbp_fy26
Mt. San Rafael Hospital,Outpatient,2022,Las Animas,Rural,East,1,0,2.576,2035,2.3479,2.576,2.7132,0.0059,civhc_rbp_fy26
National Jewish Health,Inpatient/Outpatient Combined,2021,Denver,Urban,Denver,0,0,2.1374,14945,2.1842,1.8191,2.2969,0.5342,civhc_rbp_fy26
National Jewish Health,Outpatient,2023,Denver,Urban,Denver,0,0,2.4887,13716,2.2485,1.722,2.4647,0.0885,civhc_rbp_fy26
National Jewish Health,Outpatient,2024,Denver,Urban,Denver,0,0,2.6647,12702,2.4045,1.9042,2.524,0.6066,civhc_rbp_fy26
North Denver Musculoskeletal Surgical Partners,Outpatient,2024,Broomfield,Urban,Denver,0,1,2.0109,371,2.4045,3.0786,2.524,0.0015,civhc_rbp_fy26
North Suburban Medical Center,Inpatient/Outpatient Combined,2021,Adams,Urban,Denver,0,0,2.4893,10207,2.1842,2.6347,2.2969,0.0756,civhc_rbp_fy26
