organization_name,claim_type,year,county,urban_rural,doi_region,cah_flag,amb_flag,hospital_pct_medicare,claims,urf_pct_medicare,payer_min,payer_median,payer_max,source_id
Black Canyon Surgical Center,Outpatient,2021,Montrose,Rural,West,0,1,1.6419,502,2.7793,3.953,2.6902,0.6553,civhc_rbp_fy26
Boulder Community Health,Outpatient,2021,Boulder,Urban,Boulder,0,0,2.1045,44960,2.0417,2.0417,2.4991,0.1573,civhc_rbp_fy26
Canon City Colorado Multi-Specialty Ambulatory Surgical Center,Outpatient,2021,Fremont,Rural,East,0,1,4.1364,170,2.3528,5.1827,2.6902,0.0019,civhc_rbp_fy26
Canyon View Ambulatory Surgery Center,Outpatient,2021,Mesa,Urban,Grand Junction,0,1,1.2246,243,3.2289,3.2289,2.4991,0.6237,civhc_rbp_fy26
Canyon View Ambulatory Surgery Center,Outpatient,2023,Mesa,Urban,Grand Junction,0,1,0.9727,306,3.7218,3.7218,2.4647,0.0337,civhc_rbp_fy26
Clear Creek Surgery Center,Outpatient,2024,Jefferson,Urban,Denver,0,1,1.3793,447,2.4045,2.5063,2.524,0.6454,civhc_rbp_fy26
CommonSpirit Longmont United Hospital,Inpatient,2023,Boulder,Urban,Boulder,0,0,1.588,158,1.7876,1.7876,1.9517,0.0003,civhc_rbp_fy26
CommonSpirit Longmont United Hospital,Inpatient/Outpatient Combined,2021,Boulder,Urban,Boulder,0,0,1.9837,5420,1.8368,1.8368,2.2969,0.2568,civhc_rbp_fy26
CommonSpirit Longmont United Hospital,Inpatient/Outpatient Combined,2024,Boulder,Urban,Boulder,0,0,2.2011,2621,2.0548,2.0548,2.3717,1.0843,civhc_rbp_fy26
CommonSpirit Mercy Hospital,Inpatient/Outpatient Combined,2023,La Plata,Rural,West,0,0,2.6733,16616,2.5901,2.6492,2.4878,0.2683,civhc_rbp_fy26
CommonSpirit Mercy Hospital,Outpatient,2021,La Plata,Rural,West,0,0,2.9667,23678,2.7793,2.896,2.6902,0.9189,civhc_rbp_fy26
CommonSpirit St. Anthony Hospital,Inpatient/Outpatient Combined,2023,Jefferson,Urban,Denver,0,0,2.5153,9950,2.1927,2.5541,2.3251,0.2175,civhc_rbp_fy26
CommonSpirit St. Mary-Corwin Hospital,Inpatient/Outpatient Combined,2022,Pueblo,Urban,Pueblo,0,0,3.2558,6093,2.9285,2.9285,2.3666,0.0341,civhc_rbp_fy26
Community Hospital,Inpatient/Outpatient Combined,2021,Mesa,Urban,Grand Junction,0,0,3.4578,17862,3.152,3.152,2.2969,0.0152,civhc_rbp_fy26
Community Hospital,Outpatient,2024,Mesa,Urban,Grand Junction,0,0,3.6133,16312,2.9996,2.9996,2.524,0.7136,civhc_rbp_fy26
Delta Health,Inpatient/Outpatient Combined,2023,Delta,Rural,West,0,0,3.8748,10271,2.5901,3.8748,2.4878,0.2091,civhc_rbp_fy26
Denver Diagnostic Ambulatory Surgery Center,Outpatient,2023,Arapahoe,Urban,Denver,0,1,1.0768,89,2.2485,2.4517,2.4647,0.0002,civhc_rbp_fy26
Denver Health,Inpatient/Outpatient Combined,2022,Denver,Urban,Denver,0,0,0.9093,79491,2.284,1.9245,2.3666,0.0407,civhc_rbp_fy26
East Morgan County Hospital,Inpatient/Outpatient Combined,2023,Morgan,Rural,East,1,0,1.7357,2379,2.1433,2.3758,2.4878,0.029,civhc_rbp_fy26
Endoscopy Center of Colorado Springs,Outpatient,2024,El Paso,Urban,Colorado Springs,0,1,1.7919,2025,2.5757,2.5887,2.524,1.3033,civhc_rbp_fy26
Endoscopy Center of Grand Junction,Outpatient,2022,Mesa,Urban,Grand Junction,0,1,1.6648,1364,3.2804,3.2804,2.528,0.0025,civhc_rbp_fy26
Endoscopy Center of Western Colorado,Outpatient,2021,Mesa,Urban,Grand Junction,0,1,1.2692,297,3.2289,3.2289,2.4991,0.621,civhc_rbp_fy26
Estes Park Health,Inpatient/Outpatient Combined,2024,Larimer,Urban,Ft. Collins,1,0,1.2699,2060,2.6442,2.6442,2.3717,0.9298,civhc_rbp_fy26
Family Health West,Outpatient,2024,Mesa,Urban,Grand Junction,1,0,1.8132,4692,2.9996,2.9996,2.524,0.0057,civhc_rbp_fy26
Focus Hand Surgicenter,Outpatient,2024,Arapahoe,Urban,Denver,0,1,1.7941,468,2.4045,2.6401,2.524,0.121,civhc_rbp_fy26
Foothills Surgery Center,Outpatient,2022,Boulder,Urban,Boulder,0,1,1.9384,555,2.169,2.169,2.528,0.4774,civhc_rbp_fy26
Front Range Endoscopy Centers,Outpatient,2024,El Paso,Urban,Colorado Springs,0,1,0.9958,282,2.5757,2.5887,2.524,0.7985,civhc_rbp_fy26
Functional Neurosurgical Ambulatory Surgery Center,Outpatient,2022,Arapahoe,Urban,Denver,0,1,1.7258,49,2.3542,2.5388,2.528,0.0008,civhc_rbp_fy26
Grand Junction Endoscopy Center,Outpatient,2024,Mesa,Urban,Grand Junction,0,1,2.0093,500,2.9996,2.9996,2.524,0.0023,civhc_rbp_fy26
Grand River Hospital District,Inpatient/Outpatient Combined,2022,Garfield,Rural,West,1,0,1.651,10266,2.3988,2.7545,2.3417,0.0291,civhc_rbp_fy26
Grand Valley Surgical Center,Outpatient,2023,Mesa,Urban,Grand Junction,0,1,1.1772,337,3.7218,3.7218,2.4647,0.2039,civhc_rbp_fy26
Greeley Endoscopy Center,Outpatient,2022,Weld,Urban,Greeley,0,1,1.5343,721,2.9279,2.9279,2.528,0.0025,civhc_rbp_fy26
Gunnison Valley Hospital,Inpatient,2022,Gunnison,Rural,West,1,0,1.8041,58,1.6768,1.8041,1.6034,0.0009,civhc_rbp_fy26
Gunnison Valley Hospital,Outpatient,2024,Gunnison,Rural,West,1,0,2.715,7149,3.0338,2.6907,2.891,0.2344,civhc_rbp_fy26
Harvard Park Surgery Center,Outpatient,2021,Denver,Urban,Denver,0,1,1.7305,736,2.3417,1.9352,2.4991,0.0012,civhc_rbp_fy26
Harvard Park Surgery Center,Outpatient,2024,Denver,Urban,Denver,0,1,1.3856,362,2.4045,1.9042,2.524,0.0009,civhc_rbp_fy26
Healthone Ridge View Endoscopy Center - Lone Tree,Outpatient,2022,Douglas,Urban,Denver,0,1,3.1628,2220,2.3542,2.204,2.528,0.4613,civhc_rbp_fy26
Heart of the Rockies Regional Medical Center,Inpatient,2024,Chaffee,Rural,East,1,0,1.696,61,1.2459,1.696,1.5378,0.4671,civhc_rbp_fy26
Insight Surgery Center,Outpatient,2024,Douglas,Urban,Denver,0,1,0.9607,342,2.4045,2.3549,2.524,0.0013,civhc_rbp_fy26
Intermountain Health Good Samaritan Medical Center,Inpatient/Outpatient Combined,2022,Boulder,Urban,Boulder,0,0,1.8523,17572,1.916,1.916,2.3666,0.0037,civhc_rbp_fy26
Intermountain Health Good Samaritan Medical Center,Inpatient/Outpatient Combined,2023,Boulder,Urban,Boulder,0,0,1.9297,18586,2.0361,2.0361,2.3251,0.1664,civhc_rbp_fy26
Intermountain Health Saint Joseph Hospital,Outpatient,2021,Denver,Urban,Denver,0,0,2.1917,20124,2.3417,1.9352,2.4991,0.0592,civhc_rbp_fy26
Intermountain Health Saint Joseph Hospital,Outpatient,2024,Denver,Urban,Denver,0,0,2.021,19653,2.4045,1.9042,2.524,0.6807,civhc_rbp_fy26
Intermountain Health St. Mary's Medical Center,Inpatient,2021,Mesa,Urban,Grand Junction,0,0,2.5615,677,2.6603,2.6603,1.9401,0.7515,civhc_rbp_fy26
Intermountain Health St. Mary's Medical Center,Inpatient,2023,Mesa,Urban,Grand Junction,0,0,2.7127,694,2.7195,2.7195,1.9517,0.106,civhc_rbp_fy26
Intermountain Health St. Mary's Medical Center,Inpatient/Outpatient Combined,2021,Mesa,Urban,Grand Junction,0,0,3.2002,19089,3.152,3.152,2.2969,0.7515,civhc_rbp_fy26
Kaiser Foundation Health Plan of Colorado - Denver,Outpatient,2023,Denver,Urban,Denver,0,1,0.3278,4963,2.2485,1.722,2.4647,0.0006,civhc_rbp_fy26
Kit Carson County Health Services District,Outpatient,2021,Kit Carson,Rural,East,1,0,1.4301,1883,2.3528,1.4301,2.6902,0.0134,civhc_rbp_fy26
Lafayette Surgery Center,Outpatient,2021,Boulder,Urban,Boulder,0,1,1.3249,126,2.0417,2.0417,2.4991,1.041,civhc_rbp_fy26
Lincoln Health,Outpatient,2022,Lincoln,Rural,East,1,0,1.1204,1529,2.3479,1.1204,2.7132,0.0045,civhc_rbp_fy26
Lincoln Health,Outpatient,2024,Lincoln,Rural,East,1,0,1.0046,1828,2.4156,1.0046,2.891,0.5009,civhc_rbp_fy26
Littleton Day Surgery Center,Outpatient,2022,Arapahoe,Urban,Denver,0,1,1.2602,85,2.3542,2.5388,2.528,0.001,civhc_rbp_fy26
Littleton Day Surgery Center,Outpatient,2023,Arapahoe,Urban,Denver,0,1,1.2061,83,2.2485,2.4517,2.4647,1.0036,civhc_rbp_fy26
Longmont Surgery Center,Outpatient,2024,Boulder,Urban,Boulder,0,1,1.1425,91,2.2621,2.2621,2.524,0.0032,civhc_rbp_fy26
Loveland Endoscopy Center,Outpatient,2023,Larimer,Urban,Ft. Collins,0,1,1.462,2024,2.8627,2.8627,2.4647,0.002,civhc_rbp_fy26
Loveland Surgical Enterprises,Outpatient,2023,Larimer,Urban,Ft. Collins,0,1,1.462,60,2.8627,2.8627,2.4647,0.0007,civhc_rbp_fy26
Madison Street Surgery Center,Outpatient,2023,Denver,Urban,Denver,0,1,1.19,198,2.2485,1.722,2.4647,0.8846,civhc_rbp_fy26
Melissa Memorial Hospital,Outpatient,2024,Phillips,Rural,East,1,0,1.3487,1469,2.4156,1.2809,2.891,1.0917,civhc_rbp_fy26
Memorial Regional Health,Inpatient/Outpatient Combined,2021,Moffat,Rural,West,0,0,1.487,2237,2.2831,1.487,2.2483,0.0372,civhc_rbp_fy26
Middle Park Health - Granby,Inpatient/Outpatient Combined,2022,Grand,Rural,West,1,0,2.0453,482,2.3988,1.9791,2.3417,0.0021,civhc_rbp_fy26
Middle Park Health - Granby,Outpatient,2022,Grand,Rural,West,1,0,2.0453,482,2.8235,1.9894,2.7132,0.0021,civhc_rbp_fy26
Mountain Vista Orthopaedic Surgery Center,Outpatient,2022,Weld,Urban,Greeley,0,1,1.6842,485,2.9279,2.9279,2.528,0.6437,civhc_rbp_fy26
Mt. San Rafael Hospital,Inpatient/Outpatient Combined,2023,Las Animas,Rural,East,1,0,2.3568,2273,2.1433,2.3568,2.4878,1.3597,civhc_rbp_fy26
Mt. San Rafael Hospital,Outpatient,2023,Las Animas,Rural,East,1,0,2.4713,2261,2.3176,2.4713,2.8358,1.3597,civhc_rbp_fy26
North Denver Musculoskeletal Surgical Partners,Outpatient,2023,Broomfield,Urban,Denver,0,1,1.9849,125,2.2485,3.0582,2.4647,0.1907,civhc_rbp_fy26
North Suburban Medical Center,Inpatient,2024,Adams,Urban,Denver,0,0,1.5266,488,1.9574,2.4352,1.9367,0.9435,civhc_rbp_fy26
North Suburban Medical Center,Outpatient,2023,Adams,Urban,Denver,0,0,3.1847,8102,2.2485,2.9273,2.4647,0.0427,civhc_rbp_fy26
Northglenn Endoscopy Center,Outpatient,2023,Adams,Urban,Denver,0,1,1.8283,1431,2.2485,2.9273,2.4647,0.0024,civhc_rbp_fy26
Optumcare Colorado Ambulatory Surgery Center,Outpatient,2021,El Paso,Urban,Colorado Springs,0,1,1.1921,567,2.5464,2.5524,2.4991,0.0026,civhc_rbp_fy26
Optumcare Colorado Ambulatory Surgery Center,Outpatient,2023,El Paso,Urban,Colorado Springs,0,1,1.1014,639,2.5173,2.5332,2.4647,0.3232,civhc_rbp_fy26
Pagosa Springs Medical Center,Inpatient/Outpatient Combined,2023,Archuleta,Rural,West,1,0,1.5345,2199,2.5901,1.5345,2.4878,0.0024,civhc_rbp_fy26
Pagosa Springs Medical Center,Outpatient,2022,Archuleta,Rural,West,1,0,1.4086,1650,2.8235,1.4086,2.7132,0.1911,civhc_rbp_fy26
Pagosa Springs Medical Center,Outpatient,2024,Archuleta,Rural,West,1,0,1.5883,2346,3.0338,1.5883,2.891,0.8507,civhc_rbp_fy26
Peak One Surgery Center,Outpatient,2021,Summit,Rural,West,0,1,3.931,491,2.7793,4.8218,2.6902,3.0504,civhc_rbp_fy26
Pikes Peak Endoscopy and Surgery Center,Outpatient,2022,El Paso,Urban,Colorado Springs,0,1,1.1323,1528,2.6399,2.6428,2.528,0.0027,civhc_rbp_fy26
Pikes Peak Endoscopy and Surgery Center,Outpatient,2024,El Paso,Urban,Colorado Springs,0,1,1.1124,1542,2.5757,2.5887,2.524,0.0022,civhc_rbp_fy26
Pioneers Medical Center,Inpatient,2022,Rio Blanco,Rural,West,1,0,2.8832,44,1.6768,2.6183,1.6034,0.0009,civhc_rbp_fy26
Pioneers Medical Center,Outpatient,2024,Rio Blanco,Rural,West,1,0,1.5848,2336,3.0338,1.2677,2.891,0.4639,civhc_rbp_fy26
Premier Eye Surgery Center of Colorado,Outpatient,2023,Boulder,Urban,Boulder,0,1,1.7163,200,2.2475,2.2475,2.4647,0.043,civhc_rbp_fy26
Presbyterian/St. Luke's Medical Center,Inpatient,2023,Denver,Urban,Denver,0,0,2.8243,1132,1.941,1.6885,1.9517,0.0001,civhc_rbp_fy26
Prowers Medical Center,Outpatient,2024,Prowers,Rural,East,1,0,1.6677,3520,2.4156,1.6677,2.891,0.0023,civhc_rbp_fy26
Pueblo Ambulatory Surgery Center,Outpatient,2022,Pueblo,Urban,Pueblo,0,1,1.6957,297,3.4625,3.4625,2.528,0.0026,civhc_rbp_fy26
Rangely District Hospital,Inpatient/Outpatient Combined,2022,Rio Blanco,Rural,West,1,0,0.6514,1112,2.3988,1.4814,2.3417,0.0063,civhc_rbp_fy26
Red Rocks Surgery Centers,Outpatient,2021,Jefferson,Urban,Denver,0,1,1.623,268,2.3417,2.5164,2.4991,0.0009,civhc_rbp_fy26
Research Surgical Center,Outpatient,2022,El Paso,Urban,Colorado Springs,0,1,1.2103,511,2.6399,2.6428,2.528,0.0011,civhc_rbp_fy26
Rio Grande Hospital,Outpatient,2023,Rio Grande,Rural,East,1,0,1.277,2221,2.3176,1.277,2.8358,0.0069,civhc_rbp_fy26
Rose Medical Center,Outpatient,2023,Denver,Urban,Denver,0,0,2.8723,12026,2.2485,1.722,2.4647,0.0083,civhc_rbp_fy26
Rose Medical Center,Outpatient,2024,Denver,Urban,Denver,0,0,2.9183,11034,2.4045,1.9042,2.524,2.0166,civhc_rbp_fy26
Sedgwick County Health Center,Outpatient,2024,Sedgwick,Rural,East,1,0,1.4739,452,2.4156,1.4739,2.891,0.5441,civhc_rbp_fy26
Sky Ridge Surgery Center,Outpatient,2021,Douglas,Urban,Denver,0,1,1.5696,850,2.3417,2.2521,2.4991,0.2406,civhc_rbp_fy26
South Denver Surgical Services,Outpatient,2024,Arapahoe,Urban,Denver,0,1,1.3277,42,2.4045,2.6401,2.524,1.0148,civhc_rbp_fy26
Southeast Colorado Hospital District,Outpatient,2021,Baca,Rural,East,1,0,1.9511,647,2.3528,1.9511,2.6902,0.0041,civhc_rbp_fy26
Southeast Colorado Hospital District,Outpatient,2022,Baca,Rural,East,1,0,1.8531,660,2.3479,1.8531,2.7132,0.0169,civhc_rbp_fy26
Southwest Endoscopy Center,Outpatient,2021,La Plata,Rural,West,0,1,1.54,252,2.7793,2.896,2.6902,1.1909,civhc_rbp_fy26
Southwest Health System,Outpatient,2021,Montezuma,Rural,West,1,0,1.9432,3818,2.7793,1.9432,2.6902,0.0105,civhc_rbp_fy26
Spanish Peaks Regional Health Center,Outpatient,2021,Huerfano,Rural,East,1,0,1.296,1046,2.3528,1.296,2.6902,0.0021,civhc_rbp_fy26
St. Vincent Health,Inpatient/Outpatient Combined,2023,Lake,Rural,West,1,0,1.0375,931,2.5901,1.0375,2.4878,0.0023,civhc_rbp_fy26
Steamboat Surgery Center,Outpatient,2021,Routt,Rural,West,0,1,2.4126,194,2.7793,2.9617,2.6902,1.2649,civhc_rbp_fy26
Steamboat Surgery Center,Outpatient,2023,Routt,Rural,West,0,1,2.0698,227,2.9891,3.1952,2.8358,0.2946,civhc_rbp_fy26
Summit Orthopedic Surgery Center,Outpatient,2023,Summit,Rural,West,0,1,3.4655,489,2.9891,4.8531,2.8358,0.3859,civhc_rbp_fy26
Surgery Affiliates,Outpatient,2023,El Paso,Urban,Colorado Springs,0,1,1.431,713,2.5173,2.5332,2.4647,0.1141,civhc_rbp_fy26
Swedish Medical Center,Inpatient/Outpatient Combined,2023,Arapahoe,Urban,Denver,0,0,2.7206,13077,2.1927,2.5534,2.3251,0.1955,civhc_rbp_fy26
Telluride Medical Center,Inpatient/Outpatient Combined,2023,San Miguel,Rural,West,0,0,2.0463,53,2.5901,2.0463,2.4878,0.0166,civhc_rbp_fy26
The Medical Center of Aurora,Inpatient/Outpatient Combined,2023,Arapahoe,Urban,Denver,0,0,2.5859,5896,2.1927,2.5534,2.3251,0.1884,civhc_rbp_fy26
The Surgery Center at Lone Tree,Outpatient,2024,Douglas,Urban,Denver,0,1,1.494,507,2.4045,2.3549,2.524,0.0046,civhc_rbp_fy26
UCHealth Ambulatory Surgery Center - Englewood,Outpatient,2023,Arapahoe,Urban,Denver,0,1,0.9865,1208,2.2485,2.4517,2.4647,0.1375,civhc_rbp_fy26
UCHealth Ambulatory Surgery Center - Longmont,Outpatient,2024,Weld,Urban,Greeley,0,1,1.1909,765,2.9093,2.9093,2.524,0.5319,civhc_rbp_fy26
UCHealth Broomfield Hospital,Outpatient,2024,Jefferson,Urban,Denver,0,0,3.8378,5595,2.4045,2.5063,2.524,0.6911,civhc_rbp_fy26
UCHealth Grandview Hospital,Inpatient/Outpatient Combined,2024,El Paso,Urban,Colorado Springs,0,0,2.7519,4290,2.4187,2.424,2.3717,1.1488,civhc_rbp_fy26
UCHealth Grandview Hospital,Outpatient,2022,El Paso,Urban,Colorado Springs,0,0,2.7212,3499,2.6399,2.6428,2.528,0.1227,civhc_rbp_fy26
UCHealth Greeley  Hospital,Inpatient/Outpatient Combined,2024,Weld,Urban,Greeley,0,0,2.682,14955,2.6212,2.6212,2.3717,1.6889,civhc_rbp_fy26
UCHealth Greeley  Hospital,Outpatient,2021,Weld,Urban,Greeley,0,0,3.5227,11754,3.048,3.048,2.4991,0.1061,civhc_rbp_fy26
UCHealth Highlands Ranch Hospital,Outpatient,2023,Douglas,Urban,Denver,0,0,2.9266,9491,2.2485,2.2354,2.4647,0.1036,civhc_rbp_fy26
UCHealth Medical Center of the Rockies,Inpatient,2022,Larimer,Urban,Ft. Collins,0,0,2.5128,1107,2.2229,2.2229,1.99,1.3335,civhc_rbp_fy26
UCHealth Medical Center of the Rockies,Outpatient,2021,Larimer,Urban,Ft. Collins,0,0,3.7612,34840,2.9767,2.9767,2.4991,0.2945,civhc_rbp_fy26
UCHealth Memorial Hospital,Inpatient/Outpatient Combined,2024,El Paso,Urban,Colorado Springs,0,0,2.417,84869,2.4187,2.424,2.3717,0.647,civhc_rbp_fy26
UCHealth Memorial Hospital,Outpatient,2021,El Paso,Urban,Colorado Springs,0,0,2.9471,67265,2.5464,2.5524,2.4991,0.1757,civhc_rbp_fy26
UCHealth Memorial Hospital,Outpatient,2023,El Paso,Urban,Colorado Springs,0,0,2.8994,65433,2.5173,2.5332,2.4647,0.1276,civhc_rbp_fy26
UCHealth Memorial Hospital,Outpatient,2024,El Paso,Urban,Colorado Springs,0,0,2.8943,82456,2.5757,2.5887,2.524,0.9059,civhc_rbp_fy26
UCHealth Parkview Medical Center,Inpatient,2022,Pueblo,Urban,Pueblo,0,0,1.9646,867,1.9427,1.9427,1.99,0.001,civhc_rbp_fy26
UCHealth Parkview Pueblo West,Inpatient/Outpatient Combined,2024,Pueblo,Urban,Pueblo,0,0,3.7536,3785,3.0446,3.0446,2.3717,1.7303,civhc_rbp_fy26
UCHealth Pikes Peak Regional Hospital,Inpatient/Outpatient Combined,2024,Teller,Urban,Colorado Springs,1,0,2.193,5215,2.4187,2.193,2.3717,0.7568,civhc_rbp_fy26
UCHealth Pikes Peak Regional Hospital,Outpatient,2022,Teller,Urban,Colorado Springs,1,0,2.5393,4426,2.6399,2.5393,2.528,0.0447,civhc_rbp_fy26
UCHealth Poudre Valley Hospital,Inpatient/Outpatient Combined,2023,Larimer,Urban,Ft. Collins,0,0,2.8103,43015,2.7432,2.7432,2.3251,0.0376,civhc_rbp_fy26
UCHealth Poudre Valley Hospital,Outpatient,2021,Larimer,Urban,Ft. Collins,0,0,3.3827,49168,2.9767,2.9767,2.4991,0.2885,civhc_rbp_fy26
UCHealth University of Colorado Hospital,Inpatient,2022,Adams,Urban,Denver,0,0,2.6499,1956,2.0119,2.41,1.99,0.2508,civhc_rbp_fy26
UCHealth Yampa Valley Medical Center,Inpatient/Outpatient Combined,2021,Routt,Rural,West,0,0,2.579,15967,2.2831,2.579,2.2483,0.4989,civhc_rbp_fy26
Vail Health Hospital,Outpatient,2023,Eagle,Rural,West,0,0,3.4379,13555,2.9891,3.8956,2.8358,0.1834,civhc_rbp_fy26
Vail Valley Surgery Center - Edwards,Outpatient,2023,Eagle,Rural,West,0,1,4.9431,2464,2.9891,3.8956,2.8358,0.6989,civhc_rbp_fy26
Vail Valley Surgery Center - Edwards,Outpatient,2024,Eagle,Rural,West,0,1,5.0044,1846,3.0338,4.0407,2.891,1.6609,civhc_rbp_fy26
Vail Valley Surgery Center - Vail,Outpatient,2023,Eagle,Rural,West,0,1,4.4802,1044,2.9891,3.8956,2.8358,0.2623,civhc_rbp_fy26
Vail Valley Surgery Center - Vail,Outpatient,2024,Eagle,Rural,West,0,1,4.6965,1083,3.0338,4.0407,2.891,0.456,civhc_rbp_fy26
Valley View Hospital,Inpatient,2021,Garfield,Rural,West,0,0,2.3609,300,1.5537,2.3281,1.5263,0.0008,civhc_rbp_fy26
Valley View Hospital,Inpatient,2024,Garfield,Rural,West,0,0,3.0437,294,1.5961,3.001,1.5378,0.0007,civhc_rbp_fy26
Valley View Hospital,Outpatient,2022,Garfield,Rural,West,0,0,3.8855,16968,2.8235,2.8492,2.7132,0.6692,civhc_rbp_fy26
Wray Community District Hospital,Inpatient/Outpatient Combined,2021,Yuma,Rural,East,1,0,1.3669,4019,2.1124,1.3028,2.2483,0.0024,civhc_rbp_fy26
Wray Community District Hospital,Inpatient/Outpatient Combined,2022,Yuma,Rural,East,1,0,1.3521,2982,2.1472,1.3381,2.3417,0.0023,civhc_rbp_fy26
Yuma District Hospital,Inpatient/Outpatient Combined,2024,Yuma,Rural,East,1,0,1.1505,1306,2.2207,1.4325,2.4831,0.0066,civhc_rbp_fy26
Advanced Vision Surgery Center,Outpatient,2021,Boulder,Urban,Boulder,0,1,1.0896,273,2.0417,2.0417,2.4991,0.001,civhc_rbp_fy26
AdventHealth Avista,Inpatient/Outpatient Combined,2022,Boulder,Urban,Boulder,0,0,1.803,9969,1.916,1.916,2.3666,0.2097,civhc_rbp_fy26
AdventHealth Avista,Outpatient,2022,Boulder,Urban,Boulder,0,0,2.12,9154,2.169,2.169,2.528,0.1657,civhc_rbp_fy26
AdventHealth Littleton,Inpatient,2023,Arapahoe,Urban,Denver,0,0,1.9073,1250,1.941,2.3093,1.9517,0.0638,civhc_rbp_fy26
AdventHealth Littleton,Inpatient/Outpatient Combined,2024,Arapahoe,Urban,Denver,0,0,2.5634,11983,2.3072,2.652,2.3717,0.9651,civhc_rbp_fy26
AdventHealth Littleton,Outpatient,2022,Arapahoe,Urban,Denver,0,0,2.7664,12668,2.3542,2.5388,2.528,0.2998,civhc_rbp_fy26
AdventHealth Parker,Inpatient,2024,Douglas,Urban,Denver,0,0,1.9812,682,1.9574,1.8439,1.9367,0.8482,civhc_rbp_fy26
AdventHealth Parker,Inpatient/Outpatient Combined,2021,Douglas,Urban,Denver,0,0,2.4172,12634,2.1842,2.2152,2.2969,0.5941,civhc_rbp_fy26
AdventHealth Parker,Inpatient/Outpatient Combined,2024,Douglas,Urban,Denver,0,0,2.7946,13539,2.3072,2.3331,2.3717,0.2568,civhc_rbp_fy26
AdventHealth Parker,Outpatient,2021,Douglas,Urban,Denver,0,0,2.9051,11702,2.3417,2.2521,2.4991,0.4621,civhc_rbp_fy26
AdventHealth Porter,Inpatient,2021,Denver,Urban,Denver,0,0,1.8471,1091,1.8993,1.6468,1.9401,0.0049,civhc_rbp_fy26
AdventHealth Porter,Inpatient/Outpatient Combined,2021,Denver,Urban,Denver,0,0,2.0374,16906,2.1842,1.8191,2.2969,0.079,civhc_rbp_fy26
AdventHealth Porter,Inpatient/Outpatient Combined,2022,Denver,Urban,Denver,0,0,2.2271,15392,2.284,1.9245,2.3666,0.0077,civhc_rbp_fy26
Alpine Surgery Center,Outpatient,2022,Gunnison,Rural,West,0,1,2.7529,84,2.8235,1.9726,2.7132,0.0203,civhc_rbp_fy26
Animas Surgical Hospital,Inpatient/Outpatient Combined,2021,La Plata,Rural,West,0,0,2.5245,1489,2.2831,2.2665,2.2483,0.0152,civhc_rbp_fy26
Animas Surgical Hospital,Inpatient/Outpatient Combined,2022,La Plata,Rural,West,0,0,2.6886,1451,2.3988,2.7452,2.3417,0.285,civhc_rbp_fy26
Arapahoe Surgicenter,Outpatient,2023,Arapahoe,Urban,Denver,0,1,3.1958,1582,2.2485,2.4517,2.4647,0.2506,civhc_rbp_fy26
Arete Surgical Center,Outpatient,2022,Weld,Urban,Greeley,0,1,0.7,34,2.9279,2.9279,2.528,0.0002,civhc_rbp_fy26
Arkansas Valley Regional Medical Center,Inpatient/Outpatient Combined,2021,Otero,Rural,East,1,0,2.4608,2891,2.1124,2.4608,2.2483,0.0351,civhc_rbp_fy26
Arkansas Valley Regional Medical Center,Outpatient,2024,Otero,Rural,East,1,0,2.423,2698,2.4156,2.423,2.891,0.4086,civhc_rbp_fy26
Banner McKee Medical Center,Outpatient,2023,Larimer,Urban,Ft. Collins,0,0,2.9685,3159,2.8627,2.8627,2.4647,0.0185,civhc_rbp_fy26
Banner McKee Medical Center,Outpatient,2024,Larimer,Urban,Ft. Collins,0,0,2.9889,3061,2.7664,2.7664,2.524,0.8239,civhc_rbp_fy26
Banner North Colorado Medical Center,Outpatient,2024,Weld,Urban,Greeley,0,0,2.8561,5672,2.9093,2.9093,2.524,2.281,civhc_rbp_fy26
Boulder Community Health,Inpatient,2022,Boulder,Urban,Boulder,0,0,1.8059,918,1.6805,1.6805,1.99,0.3612,civhc_rbp_fy26
Boulder Community Health,Inpatient/Outpatient Combined,2023,Boulder,Urban,Boulder,0,0,2.1251,25489,2.0361,2.0361,2.3251,0.5228,civhc_rbp_fy26
Boulder Community Musculoskeletal Surgery Center,Outpatient,2024,Boulder,Urban,Boulder,0,1,2.1134,606,2.2621,2.2621,2.524,1.0061,civhc_rbp_fy26
Canon City Colorado Multi-Specialty Ambulatory Surgical Center,Outpatient,2023,Fremont,Rural,East,0,1,3.529,213,2.3176,5.0737,2.8358,0.0011,civhc_rbp_fy26
Castle Rock Surgicenter,Outpatient,2024,Douglas,Urban,Denver,0,1,1.6955,259,2.4045,2.3549,2.524,0.0012,civhc_rbp_fy26
Colorado Urologic Surgery Center - St. Anthony Hospital Campus,Outpatient,2022,Jefferson,Urban,Denver,0,1,1.468,42,2.3542,2.3461,2.528,0.2,civhc_rbp_fy26
Colorado Urologic Surgery Center - Superior,Outpatient,2022,Boulder,Urban,Boulder,0,1,1.5731,267,2.169,2.169,2.528,0.1641,civhc_rbp_fy26
CommonSpirit St. Anthony Hospital,Inpatient,2022,Jefferson,Urban,Denver,0,0,2.2582,776,2.0119,2.158,1.99,0.0004,civhc_rbp_fy26
CommonSpirit St. Anthony North Hospital,Inpatient,2023,Broomfield,Urban,Denver,0,0,1.6703,610,1.941,1.6703,1.9517,0.0004,civhc_rbp_fy26
