ccn,dtc_rs_rate,readmission_rsrr,mspb_score,source,source_date
04T022,67.87,8.70,0.93,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T027,66.42,8.35,0.96,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T036,64.81,9.43,0.93,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T039,65.41,9.16,1.02,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T041,61.14,9.82,1.02,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T051,,,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T078,53.27,11.62,1.00,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T084,64.48,10.46,0.98,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T088,67.57,8.48,0.88,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T118,69.34,8.60,0.93,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T119,59.55,10.87,0.95,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T154,65.93,10.51,0.92,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053031,69.91,9.58,1.03,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053032,68.37,8.40,1.00,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053034,69.06,9.66,1.01,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053037,61.72,9.29,1.04,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053038,,,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053039,70.76,8.52,1.04,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053040,68.74,10.53,0.94,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053041,73.06,7.38,1.09,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053042,68.78,8.64,1.03,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053043,69.03,8.26,0.99,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053044,67.24,9.26,1.12,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053045,78.27,8.03,1.10,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053046,69.65,8.94,0.94,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053047,64.44,9.78,1.14,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T008,76.65,8.64,1.00,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T009,69.01,8.71,0.98,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T017,72.72,8.06,0.88,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T024,69.18,9.50,1.02,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T026,72.46,8.57,1.24,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T038,79.08,8.41,1.20,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T039,65.47,8.60,1.02,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T043,79.66,7.93,0.95,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T057,71.17,8.22,0.86,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T058,66.44,10.84,1.02,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T060,73.86,9.33,0.90,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T063,58.00,8.95,1.05,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T073,77.41,8.94,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T078,81.71,8.49,0.90,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T082,69.33,8.48,1.06,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T100,75.10,8.88,1.08,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T103,60.90,9.64,1.04,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T107,73.41,8.78,0.88,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T116,69.70,9.08,1.11,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T126,69.51,8.44,1.01,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T128,68.53,9.38,0.82,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T135,59.05,9.48,1.18,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
