kpi,target,peer_p10,peer_median,peer_p90,target_percentile
net_patient_revenue,6378833101.0,813139048.6,1177242328.0,2031308825.6,100.0
beds,1326.0,383.0,542.0,833.0,100.0
total_patient_days,367453.0,105223.6,122218.0,220824.8,100.0
medicare_day_pct,0.2246028743812133,0.13672321895976955,0.1912454777885402,0.23065039486678404,80.0
medicaid_day_pct,0.0521889874351277,0.037968152199249885,0.0696425991475836,0.09207644697758836,33.33333333333333
non_government_day_pct,0.723208138183659,0.7025593647904015,0.7414374314749056,0.7938372190794982,26.666666666666668
payer_mix_hhi,0.5762001527248815,0.5480317915312585,0.5888105922577664,0.6547393193035895,26.666666666666668
operating_expenses,7507484998.0,835587517.4,1233685672.0,2051802963.3999996,100.0
net_income,-1128651897.0,-342536240.2,1348814.0,108447352.39999998,0.0
operating_margin,-0.17693704775299152,-0.28143083910978983,0.0014645708107137371,0.0911623995985053,20.0
cost_per_patient_day,20431.143569381664,6796.705695953842,8040.4258461597365,13084.494096471053,100.0
npsr_per_bed,4810583.032428356,1528925.9952805233,2062537.7351778657,2979321.133653991,93.33333333333333
