metric,start_year,end_year,start_value,end_value,pct_change,pts_change,direction,severity
net_patient_revenue,2020,2022,5241664591.0,6378833101.0,0.21694797335039936,,up,favorable
operating_expenses,2020,2022,6240384004.0,7507484998.0,0.2030485613045296,,up,concerning
net_income,2020,2022,-998719413.0,-1128651897.0,-0.13009908719977992,,down,concerning
total_patient_days,2020,2022,341211.0,367453.0,0.07690842323371755,,up,neutral
medicare_day_pct,2020,2022,0.2697216678243081,0.2246028743812133,,-4.511879344309483,down,neutral
medicaid_day_pct,2020,2022,0.0366312926605531,0.0521889874351277,,1.5557694774574595,up,neutral
non_government_day_pct,2020,2022,0.6936470395151387,0.723208138183659,,2.9561098668520303,up,neutral
operating_margin,2020,2022,-0.19053478063339135,-0.17693704775299152,,1.3597732880399838,up,neutral
