ccn,name,fiscal_year,beds,total_patient_days,medicare_day_pct,medicaid_day_pct,net_patient_revenue,operating_expenses,net_income
360180,CLEVELAND CLINIC HOSPITAL,2020,1325.0,341211.0,0.2697216678243081,0.0366312926605531,5241664591.0,6240384004.0,-998719413.0
360180,CLEVELAND CLINIC HOSPITAL,2021,1326.0,372973.0,0.2463931705512195,0.0405605767709726,6037196525.0,6752065059.0,-714868534.0
360180,CLEVELAND CLINIC HOSPITAL,2022,1326.0,367453.0,0.2246028743812133,0.0521889874351277,6378833101.0,7507484998.0,-1128651897.0
